A,output
"[@ksjthighs, :, 's, prettiest, prettiest, blinks, n, ', prettiest, eyes, ,, nose, ,, lips, ,, pretty, ,, seokjin, 're, prett\xe2\x80\xa6, ""]",random
"[@KhadiDon, :, When, ask, extra, sauce, McDonald, 's, ., https://t.co/tjWXcI9kGK, ""]",random
"[b'@Wassabitsuga, Me, https://t.co/GICzVxM4zE, ']",random
"[@SEAVEYSRUlN, :, don\xe2\x80\x99, t, stan, ruel, ,, you\xe2\x80\x99re, tasteless, ., don\xe2\x80\x99, t, rules, https://t.co/zT5Et8tlIF, ']",random
"[@juliarburnham, :, I, woke, cold, sweat, night, create, content, ., I, present, :, Email, Sign, -, Alignment, https://t.co/SkNpXx\xe2\x80\xa6, ']",random
"[@Amin_Nuestt, :, Dear, you,\n\nI\xe2\x80\x99, m, ,, need, attention, ., ']",random
"[xforever4ubaby1, m, MTVHottest, Lady, Gaga, ']",random
"[b""@alisoncroggon, Pretty, irresistible, ,, n't, ""]",random
"[@FlFAWC2018, :, Ronaldo, magical, feet, ., YouTube, clips, don\xe2\x80\x99, t, justice, ., Pure, genius, ., \xf0\x9f\x87\xa7\xf0\x9f\x87\xb7\xf0\x9f\x98\x8d, https://t.co/gYfWq8ngCU, ']",random
"[@MerchGaws, :, BTS, Persona, Album, Giveaway\nWORLDWIDE, SHIPPING\n\n4, winners, !, \n\nTO, WIN:\n, -, Retweet, &, amp, ;, Like\n, -, Follow, &, amp, ;, @MerchDrops, \n, -, Turn, notifica\xe2\x80\xa6, ']",random
"[b'@hyunskier, @akmu_issuhyun, @Jchanw000, I, THOUGHT, CHANWOO, BECAME, A, KKT, STICKER, ']",random
"[b'even, cql, ,, lan, wangji, ,, spirit, ,, given, wei, wuxian, right, forehead, ribbon, ,, ,, ,, ,, ribbon, a\xe2\x80\xa6, https://t.co/d1Y28XfDpH, ']",random
"[b'@seckerson, @JohnWilsonOrch, @bbcproms, @MikaelaBennett, _, I\xe2\x80\x99ve, watched, recorded, broadcast, goose\xe2\x80\xa6, https://t.co/k03QyJEwRX, ']",random
"[@MmabathoMash, :, Me, spending, money, I, 've, broke, n't, die, https://t.co/h0AGxFuA18, ""]",random
"[@aybegrayz, :, wow, Maris\xf0\x9f\x91\x8f\n\n#IMkakampi, ']",random
"[@notyourannna, :, tell, day, ., ']",random
"[b'Baroness, Porn, gobby, mare, ., Maybe, villa, ask, help, screw, taxpayer, national\xe2\x80\xa6, https://t.co/chokrgJnfZ, ']",random
"[b""@jaanvi_30, She, 's, precious, \xe2\x9d\xa4\xef\xb8\x8f, ""]",random
"[@nazanazfikri, :, dad, design, chair, ., living, room, \xf0\x9f\x98\x82, https://t.co/DL4uEIkt2p, ']",random
"[@PCYeolxBBH, :, Ohmygod, ., This, making, cry, ..., turn, time, ,, 'll, stan, EXO, day, 1, ., I, love, boys, ., \xf0\x9f\x98\xad\xf0\x9f\x92\x94, https:\xe2\x80\xa6, ""]",random
"[@khaotical, _, :, thinking, teenage, roger, https://t.co/JcYVXSQIWK, ']",random
"[@BTS_twt, :, Say, hello, \xe2\x98\xba\xef\xb8\x8f\n#JIMIN\n#Babybear, https://t.co/dEVS9aP5Sv, ']",random
"[b'@BTS_twt, BABYBEAR, ']",random
"[@KDTrey5, :, Twitter, better, goin, da, club, ..., ']",random
"[@ChrisEvans, :, Fake, ., Sorry, ., https://t.co/jRjOXaZAqQ, ']",random
"[b'@PinkHairedCat, Oh, ok, geese, bread, ']",random
"[b'@HoodStarzMusic, Tierra, whack, it\xe2\x80\x99s, long, list, select, ']",random
"[b'i, lowkey, need, fanbase, polls, 4, ']",random
"[b'Can\xe2\x80\x99, t, cus, love, u, ']",random
"[b'No, smoke, smoke, ...., boys, don\xe2\x80\x99, t, want, !, !, ']",random
"[b""2019, year, I, 've, changed, most\n, Like, aspects, ., \nI, nt, recognize, old, ., ""]",random
"[b'@tascaramel2, Lol, \xf0\x9f\x98\x82, interesting, ., Okay, let, leave, \xf0\x9f\x98\x8a, ']",random
"[@CNN, :, Eating, meat, reducing, food, waste, slash, global, emissions, benefit, health, environment, ,, according, n\xe2\x80\xa6, ']",random
"[b'@Kuragawa1, Girl, \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82, ']",random
"[@tubefeed, :, Get, copy, ..., \n, https://t.co/m62B18Q2jw, ']",random
"[b'back, I, eyeliner, \xf0\x9f\xa5\xba, https://t.co/wejWrz1Mbt, ']",random
"[b'my, hands, shaking, \xf0\x9f\x99\x88, ']",random
"[xBlink258bpm, MTVHottest, Lady, Gaga, ']",random
"[b'@DarrellChaloner, @PortsmouthSail, @Femi_Sorry, Because, labour, clear, position, Brexit, trusted, u\xe2\x80\xa6, https://t.co/VcwBY7OA9W, ']",random
"[@highonthighs, :, "", s, wifi, password?""\n\n""its, router, "", \n\nthe, router, :, https://t.co/PDAM8gg0f9, ']",random
"[b'Said, needed, heart, ,, got, \nTurns, nt, wanted, \nAnd, nt, let, lost\xe2\x80\xa6, https://t.co/xni8qkTtqz, ']",random
"[@EdgyMiku, :, hello, happy, world, https://t.co/N9woM59AOl, ']",random
"[b'Hi, @NicolaSturgeon, ,, independence, retake, Panama, ,, y, /, n, indyref2NOW, DissolveTheUnion, https://t.co/FIYbKCs8yw, ']",random
"[@SkyeCitySeries, :, John, McDonnell, reportedly, said, 'd, invent, law, jail, Tories, ,, necessary.\n\nThe, MSM, calls, outrage.\n\nDo, you\xe2\x80\xa6, ""]",random
"[@aprohike, :, Visually, Awesome, \xe2\x9c\x85\nMusically, Soaring, \xe2\x9c\x85\nA, hammy, campy, Adam, \xe2\x9c\x85\nRockin\xe2\x80\x99, Rollin\xe2\x80\x99, Roger, \xe2\x9c\x85\nSuper, Space, Guitar, God, Brian, \xe2\x9c\x85, @DrBri\xe2\x80\xa6, ']",random
"[b'What, papa, seo, think, son, law, yongie, \xe2\x80\x94, loves, !, !, takes, great, joy, sitting, iseul\xe2\x80\xa6, https://t.co/F9OkqlsGfc, ']",random
"[b""@mechabunnie, I, big, weakness, I, hear, grunt, stall, I, 'll, lose, try, h\xe2\x80\xa6, https://t.co/Xq6ML2md9V, ""]",random
"[b'@MrsP_notanumber, A, lovely, idea, start, thread, ..., So, beautiful, stories, ..., \xe2\x9d\xa4\xef\xb8\x8f, ']",random
"[b""We, ', evening, ', Scheveningen, ""]",random
"[b'@cherylsaywhat, Faoooooo, loce@you, lets, link, ']",random
"[b'Gariepdam, Roadtrip, !, Did, know, Gariepdam, borders, 2, Provinces, (, FS, EC, ), overflowing, st\xe2\x80\xa6, https://t.co/4KuLJGVgEE, ']",random
"[b'#Hyatt, hiring, Houseperson, Housekeeping, ,, apply, !, (, NewYorkCityNYUS, ), job, https://t.co/chYWvz8lUu\xe2\x80\xa6, https://t.co/XUng6ZXaar, ']",random
"[@ojominie, :, dude, m, sick, \xf0\x9f\xa4\x9a, https://t.co/OIwICMeZX4, ']",random
"[@MaheshMaurya56, :, \xf0\x9f\x91\x89\xf0\x9f\x91\x89NDTV, means, TRUST, \n#SupportNDTV, SupportNDTV\n#SupportNDTV, SupportNDTV\n#SupportNDTV, SupportNDTV\n#SupportNDTV, Support\xe2\x80\xa6, ']",random
"[@soompi, :, WATCH, :, BTS\xe2\x80\x99s, V, Delivers, All, The, Feels, With, Beautiful, New, English, -, Language, Song, WinterBear, And, Self, -, Directed, MV, https://t.co/\xe2\x80\xa6, ']",random
"[b'Derby, away, en, COYS, \xf0\x9f\xa6\xa2, ']",random
"[@hideawayshawn, :, pulling, FOMO, DC, DAR, Constitution, Hall, https://t.co/bb28WEEk1x, ']",random
"[@xydelvie, :, school, good, ., .., ,, administration, problematic, ., ,, there\xe2\x80\x99s, mi\xe2\x80\xa6, ']",random
"[b'@Ddt1966dtDe, @davidmweissman, @KidRock, So, decide, people, spend, money, ., After, th\xe2\x80\xa6, https://t.co/a4My9mVDGl, ']",random
"[@Chuwenjie, :, greenhouse, cafe, https://t.co/Bk9J5aPqx5, ']",random
"[@omar_quraishi, :, Indian, TV, reporter, says, he\xe2\x80\x99s, unable, find, Kashmir, agrees, India\xe2\x80\x99s, actions, https://t.co/lLbVrMgqZ4, ']",random
"[b'@themightyfrog, Just, got, Ian\xe2\x80\x99s, ., ']",random
"[@andybrexiteer, :, Any, HR, experts, Is, allowed, ask, job, candidates, views, Brexit, I, strong, pro, Brexit, team, bringing, re\xe2\x80\xa6, ']",random
"[@drshamamohd, :, The, BJP, govt, downgraded, Vijay, Mallya, 's, look, -, notice, escaped\n\nIt, gave, Mehul, Choksi, clean, chit, Antig\xe2\x80\xa6, ""]",random
"[b'Calm, https://t.co/emIUDL3LVz, ']",random
"[@MuhamadSyfiq, :, Lazy, mood, ;, Sleep, ,, eat, ,, scrolling, twitter, ,, clear, insta, story, ., ']",random
"[b'@MerchGaws, @MerchDrops, DONEEE, ']",random
"[@PatrickTimmons1, :, Just, quick, word, football, \xe2\x80\x98fans\xe2\x80\x99, :, If, jokes, \xc3\x96zil, targeted, field, ,, Alisson\xe2\x80\xa6, ']",random
"[b""LE, :, 's, good, thing, good, jawline, 're, 10kgs, heavier, ""]",random
"[@BMW, :, Bold, ,, sporty, ,, visually, striking, ., The, new, BMW, X1, ., Advanced, technology, joins, forces, generous, levels, space, countless, smar\xe2\x80\xa6, ']",random
"[@BTS_twt, :, Say, hello, \xe2\x98\xba\xef\xb8\x8f\n#JIMIN\n#Babybear, https://t.co/dEVS9aP5Sv, ']",random
"[@KingBoneSMG, :, How, \xe2\x80\x9cOkay\xe2\x80\x9d, Spanish, \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3, https://t.co/y0fqK4HMAy, ']",random
"[@BTS_twt, :, Say, hello, \xe2\x98\xba\xef\xb8\x8f\n#JIMIN\n#Babybear, https://t.co/dEVS9aP5Sv, ']",random
"[b'@CharlotteBCcat1, Government, recommend, getting, diesel, cars, look, happened, price, diesel, ., ']",random
"[@sapphistocated, :, lana, :, here\xe2\x80\x99s, ass, ,, i\xe2\x80\x99, m, feeling, cheeky\n\ninstagram, stans, :, darling, lana, maria, parrilla, ,, light, life, ,, fire, my\xe2\x80\xa6, ']",random
"[b'Subs, :, Smith, ,, Long, ,, Mathias, ,, Milavec, ,, Dagnall, ,, Tiley, ,, Passmore, ']",random
"[b'@KimSeokjinThicc, I, mean---, https://t.co/aBVxTqiJXe, ']",random
"[b'who, u, taylor, stays, winning, u, stay, irrelevant, ., \xf0\x9f\xa4\xa1, https://t.co/riXvJZA3Ca, ']",random
"[b'When, I, chat,  , reply, word, comment, ., I\xe2\x80\x99ll, want, mad, ., https://t.co/gQtCwDsswp, ']",random
"[@ChrisEvans, :, Fake, ., Sorry, ., https://t.co/jRjOXaZAqQ, ']",random
"[@khanumarfa, :, \xe2\x80\x9cKashmir, property, India, Pakistan, ., It, belongs, Kashmiri, people, .\xe2\x80\x9d\n\xe2\x80\x9cWe, left, question, final\xe2\x80\xa6, ']",random
"[@NCTsmtown_DREAM, :, Dream, VS, Dream, |, RENJUN\n\nhttps://t.co/6Rhx94PFqd\n\n#NCTDREAM, \xe3\x80\x96, BOOM, \xe3\x80\x97\n#WE_BOOM\n#NCTDREAM_BOOM\n#Ch_NCT, \xec\xb1\x84\xeb\x84\x90NCT, https://\xe2\x80\xa6, ']",random
"[@Women_Of_Christ, :, We, saved, grace, faith, Christ, Jesus, ,, works, boast, ., ']",random
"[@BTS_twt, :, Say, hello, \xe2\x98\xba\xef\xb8\x8f\n#JIMIN\n#Babybear, https://t.co/dEVS9aP5Sv, ']",random
"[b'I, barely, finished, season, 1, The, Crown, \xf0\x9f\x91\x91, I, devastated, Margaret, Peter, \xf0\x9f\x98\x94, loved, othe\xe2\x80\xa6, https://t.co/vWyPFaIoth, ']",random
"[b'@johnpv7274, I, received, @zyl_adrian,  , Mad, Max, yesterday, morning, !, !, ']",random
"[b'A, moment, calm, ..., https://t.co/x60IU4zUWS, ']",random
"[b'Sat, 02:00, :, Temp, 9.9, C, ;, Humidity, 90, %, ;, Press, 101.8, kPa, /, falling, ., ']",random
"[b'im, ain\xe2\x80\x99, t, designer, ']",random
"[@inspired_verere, :, Exactly, ., Nigerians, !, !, !, We, good, spotting, blindspot, people, 's, lives, ,, n't, glaring, ones, ., htt\xe2\x80\xa6, ""]",random
"[@Ashton5SOS, :, Do, think, Easier, sounds, like, @charlieputh, https://t.co/vRJNbffu7k, ']",random
"[@ACTforAmerica, :, SHARE, :, If, love, First, Lady, !, https://t.co/XTysVaaQkP, ']",random
"[@sweetbread55, :, Me, chasing, dreams, https://t.co/aeq21cGqlU, ']",random
"[@OhMyTexts, :, Spend, time, people, love, ,, things, love, ., ']",random
"[@julietmeyers, :, "", Have, involved, car, crash, wasn\'t, fault?""\nYes, ,, Brexit, ., ']",random
"[@StormIsUponUs, :, Trump, taken, role, TheStorm, single, eye, witness, stitch, evidence, implicating, h\xe2\x80\xa6, ']",random
"[@BTS_twt, :, Say, hello, \xe2\x98\xba\xef\xb8\x8f\n#JIMIN\n#Babybear, https://t.co/dEVS9aP5Sv, ']",random
"[@LMKMovieManiac, :, Superb, bookings, NerKondaPaarvai, today, Chennai, theaters, (, extra, mrng, spl, ., shows, ), ., It, 's, gon, na, j\xe2\x80\xa6, ""]",random
"[@SAT_TLReport, :, 1, TL, irmaroxas3, \nThank, You, Ka, Solid, \xf0\x9f\x98\x8a\nKeep, \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\n\n#ADNStillOnFire, https://t.co/MSBFEgkDCh, ']",random
"[@CraigSJ, :, I, fuck, Golden, Girls, throw, god, level, outfits, ki, couch, ., ']",random
"[@leanecharlie, :, 'm, sorry, kind, rubbish, anugerah, instafamous, like, actually, https://t.co/g4IL1WVwtd, ""]",random
"[@QueenAriesya, :, hair, lost, single, day, ., ni, baru, sekali, sikat, ,, imagine, berapa, banyak, rambut, gugur, in\xe2\x80\xa6, ']",random
"[@harmonyalio, :, What\, 's, level, Twitter?\n\n0, -, 499, Followers,            , BEGINNER, \n\n500, -, 999, Followers,        , AMATEUR, \n\n1000, -, 4999,      , "", "", \xe2\x80\xa6, ']",random
"[@ANI, :, MHA, Spokesperson, :, There, media, reports, claiming, protest, involving, 10,000, people, Srinagar, ., This, completely, fabr\xe2\x80\xa6, ']",random
"[@diarihatiaku, :, Silence, means, sadness, ,, pain, tired, ., ']",random
"[b""@julesrlavin, @SpotifyCares, @MariahCarey, Perhaps, 's, time, switch, Apple, Music, yeah, What, ,, @SpotifyCares, :), ""]",random
"[@baraju_SuperHit, :, Rising, stronger, .., It, 's, showtime!\n\n#Saaho, Trailer, tomorrow, languages, ., \n\n#SaahoTrailerTom\xe2\x80\xa6, ""]",random
"[xinsbadideax, MTVHottest, Lady, Gaga, ']",random
"[b'@ofloosescrews, Pours, liquor, ., \n,   , No, need, ask, twice, ']",random
"[b'Wow, brave, girl, love, baby, girl\n\nASHTAN, ForFOLDEDandHUNG\n@ashdlmundo, \xe2\x80\xa2, @tanredroncal, \n, @foldedandhungph, https://t.co/8H25AzWjY2, ']",random
"[b'Jinhwan, "", ready, Showtime, "", iKONJapanTour2019_KobeD2, ']",random
"[@it_meirl_bot, :, me_irl, https://t.co/3Fk3C7fXAb, https://t.co/1zob0cjdkF, ']",random
"[@BangtanINDIA, :, ', Nothing, But, Thieves, ', English, alternative, rock, band,  , got, question, know, Kpop, group, answe\xe2\x80\xa6, ""]",random
"[b'If, ANYBODY, wants, leave, ,, \xf0\x9f\x97\xa3let, leave, !, !, If, don\xe2\x80\x99, t, let, leave, .., mind\xe2\x80\xa6, https://t.co/8e9LDi5qKJ, ']",random
"[b'@PreseasonSheehy, Wtf, I, meant, send, https://t.co/tg907g8Odj, ']",random
"[b'@pcyvie, morning, ,, rest, baby, ']",random
"[@ArtOfReinaV, :, I, opening, new, type, commission, :, ), \n\n, ~, Rough, sketch\n, ~, Black, &, amp, ;, White, paintings\n\nDm, 're, interested~~, https://t.c\xe2\x80\xa6, ""]",random
"[@ashoswai, :, Kashmir, active, battlefield, !, https://t.co/2vz4dL3BqK, @IrishTimesWorld, ']",random
"[@sirgguk, :, Still, tryna, figure, somebody, ACTUALLY, like, me,,like, scientifically, possible, \nhttps://t.co, /, kIvtcgIy1Q, ']",random
"[b'@LucyMcJuicy, Ah, right, ,, funnily, I, work, healthcare, switching, retail, 10, years, ago, \xf0\x9f\x98\x82, ']",random
"[@sirhottest, :, Oh, ,, cool, ,, hate, president, ., \n\nYou're, edgy, ., ""]",random
"[b'some, sw*fties, unbearable, ']",random
"[b'@minniesangwenii, I, love, meat, ,, chubby, sexy, ']",random
"[@StyleCaster, :, So, emotions, !, !, !, @bts_bighit, BTSArmy, https://t.co/AQMLrZmmus, ']",random
"[@BTS_twt, :, Say, hello, \xe2\x98\xba\xef\xb8\x8f\n#JIMIN\n#Babybear, https://t.co/dEVS9aP5Sv, ']",random
"[b""@Redrose1543, ACTUALLY, camila, 's, manager, claimed, honestly, dk, point, \xf0\x9f\x92\x80, https://t.co/A7CXZsGGgg, ""]",random
"[b'Quick, thinking, ., https://t.co/PyArpKJ0fv, ']",random
"[@areebahaaq, :, Me, going, little, sister\xe2\x80\x99s, room, annoy, reason,  , https://t.co/7ZuyCCBqS4, ']",random
"[@jeffnovich, :, You\xe2\x80\x99ve, heard, \xe2\x80\x9cThe, Dutch, Reach\xe2\x80\x9d\n\nThis, I, \xe2\x80\x9cThe, Holland, Tunnel\xe2\x80\x9d, \xf0\x9f\x9a\xb4\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x8c\x88\n\nNot, confused, NYC, Hollan\xe2\x80\xa6, ']",random
"[@adorjin, :, Never, 4get, tl, blessed, princely, pics, jin, singing, epiphany, lilac, hair, ,, white, suit, ,, glass\xe2\x80\xa6, ']",random
"[@sacesus, :, nt, think, people, realize, beneficial, awhile, ., taking, time, relationships, ,, finding, you\xe2\x80\xa6, ']",random
"[b""@R3dbet, @LorD_Liza, @freedomfakudze, Doubt, I, 'll, XXL, liked, ,, swag, ...., https://t.co/oct9anJF13, ""]",random
"[@mollyysim, :, [, GIVEAWAY, ], ExplOrationInManila\n\nI\xe2\x80\x99ll, giving, away, hwaiting, lounge, codes, followers, weren\xe2\x80\x99, t, able, reserve, th\xe2\x80\xa6, ']",random
"[@JbKnockout, :, Once, actually, zoom, ,, memories, start, flood, ., What, trip, https://t.co/Z1EP1n1Zkv, ']",random
"[@DrNealBarnard, :, New, study, finds, eating, plant, -, based, foods, fewer, animal, products, linked, lower, risk, having, heart\xe2\x80\xa6, ']",random
"[@villaard, :, God, squeeze, pressure, worst, He, bring, best, ., Pressure, produc\xe2\x80\xa6, ']",random
"[b'Deal, kittycat_4863814, ']",random
"[@ziemchi, :, My, dad, \xf0\x9f\xa4\x9d, passing, message, form, joke, ']",random
"[@iSwoonforJoon, :, WHAT, IF, THAT, BEAT, YOONGI, WAS, WORKING, ON, IN, \xe2\x80\x98BRING, THE, SOUL\xe2\x80\x99, IS, ACTUALLY, PART, OF, AGUST, D, 2, !, \xf0\x9f\x91\x80#AgustD2isComing, https://t.\xe2\x80\xa6, ']",random
"[xinsbadideax, MTVHottest, Lady, Gaga, ']",random
"[@EdreezGombawa, :, The, fact, don\xe2\x80\x99, t, know, going, die, scary, ., May, die, Allah, pleased, wi\xe2\x80\xa6, ']",random
